position=<128, 193> velocity=<-3, -4>
position=<128, 193> velocity=<-4, -1>
position=<128, 193> velocity=<4, 4>
position=<129, 193> velocity=<-2, -3>
position=<129, 193> velocity=<1, 3>
position=<137, 193> velocity=<5, 4>
position=<137, 193> velocity=<3, -5>
position=<137, 193> velocity=<5, -2>
position=<138, 193> velocity=<-5, 1>
position=<138, 193> velocity=<-1, 2>
position=<138, 193> velocity=<5, -5>
position=<139, 193> velocity=<-1, 1>
position=<142, 193> velocity=<-2, 2>
position=<142, 193> velocity=<-1, -2>
position=<143, 193> velocity=<3, -3>
position=<143, 193> velocity=<-5, -5>
position=<143, 193> velocity=<-4, -4>
position=<144, 193> velocity=<-4, -1>
position=<144, 193> velocity=<1, 3>
position=<145, 193> velocity=<1, -5>
position=<145, 193> velocity=<3, -5>
position=<145, 193> velocity=<1, 4>
position=<146, 193> velocity=<1, 1>
position=<147, 193> velocity=<-4, -2>
position=<147, 193> velocity=<5, -4>
position=<147, 193> velocity=<5, -4>
position=<150, 193> velocity=<-4, -4>
position=<150, 193> velocity=<4, -2>
position=<155, 193> velocity=<3, 3>
position=<158, 193> velocity=<-1, 3>
position=<163, 193> velocity=<2, 1>
position=<166, 193> velocity=<-3, 4>
position=<171, 193> velocity=<-5, 1>
position=<174, 193> velocity=<4, 4>
position=<174, 193> velocity=<2, 5>
position=<174, 193> velocity=<-1, 2>
position=<179, 193> velocity=<2, 5>
position=<179, 193> velocity=<-4, -3>
position=<182, 193> velocity=<-1, 1>
position=<183, 193> velocity=<-5, 5>
position=<183, 193> velocity=<2, 3>
position=<184, 193> velocity=<-3, -5>
position=<185, 193> velocity=<-5, -3>
position=<186, 193> velocity=<-2, -1>
position=<187, 193> velocity=<1, 3>
position=<187, 193> velocity=<-5, -3>
position=<127, 194> velocity=<-5, 1>
position=<127, 194> velocity=<-5, -1>
position=<127, 194> velocity=<4, 2>
position=<130, 194> velocity=<-2, 3>
position=<130, 194> velocity=<3, 3>
position=<130, 194> velocity=<-2, 5>
position=<138, 194> velocity=<-4, -3>
position=<138, 194> velocity=<-2, 2>
position=<138, 194> velocity=<3, 4>
position=<147, 194> velocity=<3, -5>
position=<147, 194> velocity=<-5, -4>
position=<150, 194> velocity=<2, 3>
position=<151, 194> velocity=<-3, -2>
position=<155, 194> velocity=<-2, 5>
position=<158, 194> velocity=<-1, -2>
position=<158, 194> velocity=<5, -1>
position=<158, 194> velocity=<-3, 1>
position=<163, 194> velocity=<-3, -1>
position=<163, 194> velocity=<-3, 2>
position=<163, 194> velocity=<1, -5>
position=<166, 194> velocity=<-3, -2>
position=<166, 194> velocity=<-3, 5>
position=<166, 194> velocity=<1, -1>
position=<171, 194> velocity=<-1, -3>
position=<171, 194> velocity=<-5, 1>
position=<174, 194> velocity=<-4, -4>
position=<178, 194> velocity=<5, 5>
position=<178, 194> velocity=<2, 2>
position=<178, 194> velocity=<4, 5>
position=<182, 194> velocity=<-3, 5>
position=<182, 194> velocity=<2, -5>
position=<126, 195> velocity=<-1, 4>
position=<126, 195> velocity=<1, -5>
position=<126, 195> velocity=<2, 5>
position=<131, 195> velocity=<-3, -5>
position=<138, 195> velocity=<-1, 3>
position=<138, 195> velocity=<1, -4>
position=<147, 195> velocity=<5, -3>
position=<147, 195> velocity=<-3, -1>
position=<150, 195> velocity=<-4, 4>
position=<151, 195> velocity=<-2, -5>
position=<155, 195> velocity=<-4, -1>
position=<155, 195> velocity=<4, -4>
position=<159, 195> velocity=<-5, -3>
position=<162, 195> velocity=<1, -1>
position=<166, 195> velocity=<1, 2>
position=<166, 195> velocity=<1, -3>
position=<166, 195> velocity=<5, -5>
position=<171, 195> velocity=<-3, 1>
position=<171, 195> velocity=<-3, -1>
position=<171, 195> velocity=<-2, 3>
position=<174, 195> velocity=<3, 1>
position=<174, 195> velocity=<-2, 3>
position=<174, 195> velocity=<-4, 1>
position=<177, 195> velocity=<-4, -5>
position=<182, 195> velocity=<-1, 1>
position=<126, 196> velocity=<-5, -1>
position=<131, 196> velocity=<-1, -3>
position=<131, 196> velocity=<4, -1>
position=<131, 196> velocity=<3, 2>
position=<138, 196> velocity=<4, 3>
position=<138, 196> velocity=<3, 3>
position=<146, 196> velocity=<1, -5>
position=<146, 196> velocity=<4, 4>
position=<150, 196> velocity=<4, -1>
position=<152, 196> velocity=<-3, -4>
position=<155, 196> velocity=<3, -2>
position=<155, 196> velocity=<-2, 4>
position=<155, 196> velocity=<2, 4>
position=<159, 196> velocity=<1, 2>
position=<159, 196> velocity=<1, 3>
position=<162, 196> velocity=<2, 3>
position=<162, 196> velocity=<3, 4>
position=<166, 196> velocity=<-4, -3>
position=<166, 196> velocity=<-4, 3>
position=<171, 196> velocity=<-1, 2>
position=<171, 196> velocity=<-5, 3>
position=<171, 196> velocity=<4, 5>
position=<174, 196> velocity=<-4, -4>
position=<174, 196> velocity=<-2, 3>
position=<174, 196> velocity=<-3, 2>
position=<176, 196> velocity=<4, -3>
position=<176, 196> velocity=<-2, -4>
position=<182, 196> velocity=<3, -4>
position=<126, 197> velocity=<5, -5>
position=<131, 197> velocity=<5, 4>
position=<131, 197> velocity=<5, 4>
position=<138, 197> velocity=<2, 5>
position=<138, 197> velocity=<-4, 2>
position=<145, 197> velocity=<-4, 2>
position=<145, 197> velocity=<-1, 2>
position=<150, 197> velocity=<-5, 2>
position=<152, 197> velocity=<-4, -2>
position=<152, 197> velocity=<-2, 1>
position=<155, 197> velocity=<-3, 2>
position=<160, 197> velocity=<-1, 1>
position=<160, 197> velocity=<-4, 1>
position=<161, 197> velocity=<2, 2>
position=<166, 197> velocity=<-1, 2>
position=<166, 197> velocity=<-1, 4>
position=<167, 197> velocity=<3, 5>
position=<167, 197> velocity=<5, -3>
position=<167, 197> velocity=<-4, -2>
position=<168, 197> velocity=<-5, 5>
position=<169, 197> velocity=<-5, 3>
position=<170, 197> velocity=<1, -2>
position=<170, 197> velocity=<-1, -1>
position=<171, 197> velocity=<-5, 3>
position=<171, 197> velocity=<-1, -5>
position=<174, 197> velocity=<5, -1>
position=<175, 197> velocity=<3, 4>
position=<182, 197> velocity=<5, 5>
position=<183, 197> velocity=<-1, 5>
position=<183, 197> velocity=<-3, -5>
position=<183, 197> velocity=<-3, 1>
position=<184, 197> velocity=<-3, -1>
position=<185, 197> velocity=<-4, -3>
position=<185, 197> velocity=<2, -4>
position=<185, 197> velocity=<1, -3>
position=<186, 197> velocity=<-5, 2>
position=<186, 197> velocity=<2, -5>
position=<126, 198> velocity=<-4, -2>
position=<126, 198> velocity=<5, -5>
position=<126, 198> velocity=<5, 5>
position=<127, 198> velocity=<4, 5>
position=<127, 198> velocity=<4, 3>
position=<128, 198> velocity=<-4, -3>
position=<128, 198> velocity=<-5, -1>
position=<128, 198> velocity=<-5, 5>
position=<129, 198> velocity=<5, 3>
position=<129, 198> velocity=<4, 3>
position=<129, 198> velocity=<3, -2>
position=<130, 198> velocity=<1, -1>
position=<131, 198> velocity=<-1, 4>
position=<131, 198> velocity=<3, -1>
position=<131, 198> velocity=<2, 4>
position=<138, 198> velocity=<3, -2>
position=<144, 198> velocity=<5, -5>
position=<144, 198> velocity=<-4, 5>
position=<150, 198> velocity=<-3, -4>
position=<150, 198> velocity=<1, -5>
position=<153, 198> velocity=<-4, 4>
position=<153, 198> velocity=<5, -5>
position=<155, 198> velocity=<-1, 2>
position=<155, 198> velocity=<-1, -1>
position=<160, 198> velocity=<-5, -5>
position=<160, 198> velocity=<4, 3>
position=<161, 198> velocity=<3, -2>
position=<161, 198> velocity=<-3, -3>
position=<166, 198> velocity=<-2, 2>
position=<171, 198> velocity=<-3, -2>
position=<174, 198> velocity=<-4, -3>
position=<174, 198> velocity=<-2, 1>
position=<174, 198> velocity=<5, 1>
position=<175, 198> velocity=<5, 1>
position=<175, 198> velocity=<-2, 3>
position=<182, 198> velocity=<-4, -5>
position=<126, 199> velocity=<5, 5>
position=<126, 199> velocity=<5, 2>
position=<131, 199> velocity=<-3, 1>
position=<131, 199> velocity=<-1, -1>
position=<138, 199> velocity=<5, 2>
position=<138, 199> velocity=<1, -4>
position=<138, 199> velocity=<5, -2>
position=<143, 199> velocity=<-2, -1>
position=<150, 199> velocity=<5, -3>
position=<150, 199> velocity=<-2, -2>
position=<153, 199> velocity=<-3, 1>
position=<153, 199> velocity=<5, -4>
position=<153, 199> velocity=<-1, 1>
position=<155, 199> velocity=<-5, 3>
position=<159, 199> velocity=<-3, -3>
position=<159, 199> velocity=<-4, 1>
position=<159, 199> velocity=<-3, -4>
position=<162, 199> velocity=<3, 3>
position=<162, 199> velocity=<4, -1>
position=<162, 199> velocity=<-3, 5>
position=<166, 199> velocity=<3, 1>
position=<166, 199> velocity=<3, 4>
position=<171, 199> velocity=<4, 2>
position=<171, 199> velocity=<-4, -4>
position=<171, 199> velocity=<-4, -5>
position=<174, 199> velocity=<-5, 1>
position=<174, 199> velocity=<3, -4>
position=<174, 199> velocity=<-3, -1>
position=<176, 199> velocity=<5, -5>
position=<176, 199> velocity=<-4, 2>
position=<176, 199> velocity=<5, -3>
position=<182, 199> velocity=<-2, -2>
position=<182, 199> velocity=<5, -4>
position=<126, 200> velocity=<4, 5>
position=<126, 200> velocity=<3, -5>
position=<126, 200> velocity=<-3, -5>
position=<131, 200> velocity=<-4, -1>
position=<131, 200> velocity=<-3, -4>
position=<131, 200> velocity=<5, 5>
position=<134, 200> velocity=<3, 1>
position=<138, 200> velocity=<2, 2>
position=<142, 200> velocity=<-5, 2>
position=<150, 200> velocity=<-3, 1>
position=<150, 200> velocity=<2, -4>
position=<150, 200> velocity=<-5, -5>
position=<154, 200> velocity=<-2, 1>
position=<154, 200> velocity=<-1, 5>
position=<155, 200> velocity=<-5, 3>
position=<155, 200> velocity=<-2, -2>
position=<155, 200> velocity=<2, 5>
position=<159, 200> velocity=<-5, 1>
position=<159, 200> velocity=<-1, 3>
position=<159, 200> velocity=<-1, -3>
position=<162, 200> velocity=<5, 2>
position=<162, 200> velocity=<2, -2>
position=<166, 200> velocity=<-5, -5>
position=<171, 200> velocity=<-1, -4>
position=<171, 200> velocity=<-3, 4>
